排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
158,5299,杰力,96.7,1.7,1.79,09/18,0.2,0.41,0.53,0.65,0.39,0.34,-2.12,-2.31,-2.36,-2.57,,-2.03
159,6526,達發,691.0,62.0,9.86,09/18,0.4,0.45,0.58,0.65,0.76,0.7,1.51,2.6,0.75,,,2.05
160,2404,漢唐,1125.0,95.0,9.22,09/18,0.39,0.38,0.41,0.65,0.56,-0.87,1.9,8.31,2.14,5.82,13.6,4.88
161,00403A,主動統一升級50,10.33,0.32,3.2,09/18,0.69,0.87,0.89,0.64,1.68,5.23,3.35,,,,,
162,1718,中纖,10.6,-0.3,-2.75,09/18,-0.28,0.41,0.49,0.63,0.73,0.54,-1.16,-1.1,-0.63,-3.86,-2.66,-0.21
163,6214,精誠,194.5,1.5,0.78,09/18,0.19,0.38,0.36,0.63,1.04,0.97,3.93,6.1,3.58,4.52,7.62,6.03
164,00405A,主動富邦台灣龍耀,8.87,0.44,5.22,09/18,0.88,0.81,0.91,0.63,0.83,2.12,3.23,,,,,
165,6603,富強鑫,28.55,0.65,2.33,09/18,-0.04,1.46,1.35,0.63,0.39,-0.16,0.14,-4.51,-3.35,0.18,-0.31,-7.07
166,8289,泰藝,44.2,1.15,2.67,09/18,0.22,0.4,0.32,0.62,0.99,1.37,1.96,1.97,1.54,1.45,1.81,1.47
167,6165,浪凡,50.3,1.7,3.5,09/18,0.44,0.61,0.68,0.62,0.38,1.09,-5.94,6.5,-2.45,3.98,8.45,4.93
168,6589,台康生技,52.7,1.5,2.93,09/18,0.17,0.41,0.46,0.62,0.54,0.79,0.94,-0.57,-0.62,1.33,,-0.36
169,4771,望隼,215.0,2.0,0.94,09/18,0.08,0.59,0.54,0.62,0.51,1.53,4.26,5.26,6.05,,,5.73
