排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
107,00983D,主動富邦複合收益,9.72,0.02,0.21,09/16,0.0,0.0,14.2,19.4,19.6,19.6,37.9,22.1,,-24.8
108,1714,和桐,15.6,0.45,2.97,09/16,2.89,3.57,4.92,19.3,37.2,55.1,286.0,553.0,656.0,1006.0
109,3354,律勝,30.5,2.75,9.91,09/16,1.74,10.4,14.1,19.2,24.0,27.2,38.4,64.5,206.0,135.0
110,4416,三圓,11.2,-0.4,-3.45,09/16,0.0,19.7,20.3,19.1,20.3,23.5,61.6,127.0,11666.0,1186.0
111,3498,陽程,190.5,17.0,9.8,09/16,-2.63,14.8,18.8,19.0,31.8,-45.2,1.12,-12.9,-46.3,-24.0
112,3450,聯鈞,541.0,48.5,9.85,09/16,12.3,20.4,28.5,18.9,-5.91,-36.4,-23.6,-69.8,-75.6,-75.8
113,1808,潤隆,33.65,0.65,1.97,09/16,3.64,5.12,9.13,18.8,34.3,18.8,-0.23,15.3,-17.9,23.2
114,5321,美而快,67.9,1.5,2.26,09/16,0.11,6.15,3.77,18.7,34.9,46.3,128.0,84.4,62.4,61.7
115,1722,台肥,41.85,-0.15,-0.36,09/16,3.29,6.82,10.9,18.5,3.54,1.27,-1.77,42.5,234.0,84.8
116,3026,禾伸堂,772.0,46.0,6.34,09/16,0.05,1.6,4.1,18.4,23.6,90.5,330.0,515.0,1277.0,180.0
117,2436,偉詮電,68.0,1.7,2.56,09/16,0.77,12.1,7.45,18.4,-4.42,-0.26,-61.0,-38.4,-21.9,-44.8
118,00410A,主動永豐科技趨勢,11.69,0.27,2.36,09/16,19.6,19.6,19.6,18.3,27.8,572.0,,,,
119,7728,光焱科技,635.0,0.0,0.0,09/16,5.0,12.0,15.1,18.3,25.4,23.5,37.7,13.5,133.0,-30.6
120,6147,頎邦,207.5,7.5,3.75,09/16,4.54,5.08,4.93,18.0,27.7,14.3,-60.5,63.2,1.2,153.0
121,4991,環宇-KY,428.0,10.0,2.39,09/16,2.55,5.26,14.0,18.0,36.2,251.0,353.0,456.0,60.9,305.0
122,2743,山富,52.0,1.0,1.96,09/16,0.0,0.5,4.7,17.9,11.1,-34.0,-61.1,-61.2,-32.2,-61.2
123,5210,寶碩,28.75,0.25,0.88,09/16,0.0,1.4,4.32,17.9,55.9,-3.65,375.0,,,
124,8383,千附,65.5,2.2,3.48,09/16,0.33,4.04,4.76,17.8,25.9,78.8,104.0,136.0,75.9,28.0
125,2413,環科,53.0,4.8,9.96,09/16,2.88,4.32,8.12,17.8,65.9,62.3,7.32,34.4,139.0,21.1
126,6426,統新,330.0,30.0,10.0,09/16,2.73,7.36,11.4,17.8,16.1,-7.5,-26.1,38.3,175.0,-14.5
127,4931,新盛力,236.0,11.0,4.89,09/16,1.41,6.42,9.28,17.8,42.2,45.2,132.0,156.0,252.0,773.0
128,2801,彰銀,28.9,0.9,3.21,09/16,1.13,4.13,6.77,17.6,45.2,34.8,47.8,299.0,464.0,275.0
129,2883,凱基金,39.15,1.0,2.62,09/16,2.56,7.22,11.6,17.5,9.55,-2.53,-45.3,309.0,-8.02,278.0
130,6146,耕興,175.5,-2.5,-1.4,09/16,4.36,8.76,11.1,17.5,31.3,46.2,19.0,-19.7,-2.98,-18.3
131,2892,第一金,40.0,0.45,1.14,09/16,3.27,8.62,0.21,17.4,-12.9,-52.4,-51.2,157.0,89.6,42.0
132,2308,台達電,1710.0,40.0,2.4,09/16,0.15,-3.18,-1.47,17.2,12.5,-7.41,-9.78,131.0,21.6,266.0
133,4912,聯德控股-KY,90.9,3.2,3.65,09/16,2.16,4.03,7.31,17.2,29.3,-9.17,28.0,-12.5,166.0,279.0
134,8033,雷虎,169.0,2.5,1.5,09/16,1.1,3.12,4.08,17.0,27.3,94.3,-9.5,99.4,223.0,72.4
135,2327,國巨*,536.0,-1.0,-0.19,09/16,13.7,14.7,16.1,16.9,7.01,51.1,310.0,393.0,98.3,54.0
