股票代號,股票名稱,法人持股,上榜區塊,累積衰退
00984D,主動聯博全球非投,-80.32928753696908,"20日衰退,10日衰退,30日衰退",-1.1296105039982365
00985B,群益ESG投等債0-5,23.50137603378209,"20日衰退,5日衰退,10日衰退,30日衰退",-2.605924484790844
00987A,主動台新優勢成長,-43.61449849682465,10日衰退,-2.4573835947515974
00988A,主動統一全球創新,-58.94268928154982,"20日衰退,5日衰退,10日衰退",-0.7901060985389066
00989A,主動摩根美國科技,-22.166080121489937,"5日衰退,10日衰退",-8.486855322918569
00990A,主動元大AI新經濟,-7.239650212780507,30日衰退,-3.4487286348706174
00991A,主動復華未來50,-62.125193331249214,"30日衰退,5日衰退,10日衰退",-1.5454359556696602
00991B,貝萊德A級公司債,95.13570700046361,5日衰退,-0.46262522836573794
00992A,主動群益科技創新,-56.469961201581484,"30日衰退,5日衰退,10日衰退",-1.410679039794104
00995A,主動中信台灣卓越,-28.921977825769037,10日衰退,-4.364130386826069
00997A,主動群益美國增長,-30.732321864682593,"20日衰退,5日衰退,10日衰退,30日衰退",-3.020139395110153
1210,大成,9.874824272116664,"20日衰退,10日衰退",-0.8216543222456156
1218,泰山,3.0131425675663,20日衰退,-0.7116182223534597
1303,南亞,35.41362297569648,"20日衰退,10日衰退",-0.7969154370243388
1305,華夏,3.8337787539683257,30日衰退,-1.5619768516021608
1307,三芳,6.581989713510439,5日衰退,-0.42411343750586195
1312,國喬,2.673168783640093,"30日衰退,20日衰退",-0.7774522741689722
1314,中石化,9.619153857275716,"30日衰退,5日衰退",-0.43951245131600736
1325,恆大,0.8846244195584588,5日衰退,-0.33999999999999997
1342,八貫,32.82320988236777,20日衰退,-0.7647469184394851
1409,新纖,10.96400653546423,"20日衰退,5日衰退,10日衰退,30日衰退",-0.4852163742960638
1476,儒鴻,31.06649937040012,"5日衰退,10日衰退",-0.802734122604079
1477,聚陽,5.376119914170655,"20日衰退,5日衰退,10日衰退,30日衰退",-2.534156605442152
