排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
241,6122,擎邦,58.2,3.0,5.43,09/24,0.0,0.29,0.25,0.21,0.18,0.14,0.09,0.06,0.02,0.0,0.0,0.03
242,1503,士電,196.0,-0.5,-0.25,09/24,0.16,0.09,0.05,0.21,0.32,0.17,0.13,0.06,0.13,0.69,0.78,0.12
243,6214,精誠,190.5,0.5,0.26,09/24,0.92,0.46,0.32,0.21,1.25,0.86,0.24,0.16,0.32,1.97,1.18,0.17
244,2031,新光鋼,46.1,0.75,1.65,09/24,0.48,0.32,0.15,0.21,0.12,0.34,0.18,0.4,0.24,1.26,1.53,0.3
245,3090,日電貿,165.0,0.0,0.0,09/24,1.27,0.57,0.35,0.19,0.08,0.12,4.93,2.28,1.96,1.78,0.93,2.52
246,6279,胡連,112.5,1.5,1.35,09/24,0.72,0.42,0.21,0.19,0.1,0.18,0.13,0.91,1.41,3.26,2.66,1.16
247,2542,興富發,39.5,-0.05,-0.13,09/24,1.43,0.33,0.26,0.18,0.25,0.26,0.28,1.22,2.35,2.75,3.0,1.72
248,3293,鈊象,761.0,32.0,4.39,09/24,0.05,0.23,0.31,0.18,0.49,14.3,10.2,6.67,4.96,4.67,3.15,6.13
249,3265,台星科,183.0,3.0,1.67,09/24,2.21,0.67,0.27,0.18,0.14,0.4,0.61,0.58,0.57,0.61,0.39,0.66
250,8936,國統,52.1,0.1,0.19,09/24,0.57,0.28,0.17,0.18,0.09,0.21,0.08,0.1,0.07,0.01,0.01,0.08
251,8081,致新,254.0,3.5,1.4,09/24,0.45,0.24,0.3,0.17,0.31,0.33,1.61,1.0,0.72,0.48,0.07,0.86
252,2480,敦陽科,161.0,0.0,0.0,09/24,1.29,0.53,0.28,0.17,0.1,0.28,0.22,0.65,1.11,1.13,0.94,0.62
253,8021,尖點,480.0,2.0,0.42,09/24,0.0,0.0,0.0,0.17,0.15,0.98,1.09,1.43,0.28,0.17,0.13,0.72
254,8454,富邦媒,239.0,-5.5,-2.25,09/24,0.0,0.0,0.04,0.16,1.32,0.75,1.83,1.82,1.33,0.56,0.25,1.69
255,3693,營邦,729.0,-3.0,-0.41,09/24,0.0,0.11,0.23,0.16,0.19,0.08,0.11,0.39,0.38,0.18,0.09,0.27
256,2492,華新科,311.5,5.5,1.8,09/24,0.0,0.0,0.0,0.16,2.11,0.85,1.59,1.06,0.8,0.79,1.5,0.87
257,6548,長科*,71.3,-0.7,-0.97,09/24,0.29,0.1,0.07,0.16,0.81,0.41,0.08,0.77,0.49,0.76,0.66,0.59
258,5269,祥碩,1480.0,0.0,0.0,09/24,0.0,0.17,0.1,0.15,0.11,0.15,0.44,0.44,0.66,3.36,3.91,0.54
259,1608,華榮,35.5,-0.25,-0.7,09/24,0.46,0.17,0.12,0.15,1.35,0.43,0.17,0.25,0.14,0.06,0.04,0.26
260,5351,鈺創,108.0,-1.5,-1.37,09/24,0.85,0.43,0.29,0.14,0.08,0.12,0.03,0.02,0.02,0.02,0.01,0.02
261,6670,復盛應用,273.0,0.0,0.0,09/24,0.48,0.19,0.12,0.14,1.44,0.62,7.44,5.47,10.5,6.23,,5.97
262,6206,飛捷,139.0,0.0,0.0,09/24,0.81,0.32,0.2,0.12,0.06,0.15,0.48,0.5,2.38,1.5,1.41,0.96
263,3529,力旺,3230.0,-75.0,-2.27,09/24,0.25,0.14,0.15,0.12,0.42,0.63,3.41,5.1,4.21,5.06,4.17,4.2
