排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
179,1473,台南,19.65,-0.1,-0.51,09/15,0,-53,-235,-260,-298,-350.0,-516.0,-635.0,-527.0,-576.0
180,2006,東和鋼鐵,80.9,-1.2,-1.46,09/15,2,-3,-47,-258,-116,-1161.0,-11673.0,-3610.0,-2758.0,-3100.0
181,2034,允強,20.45,0.15,0.74,09/15,-80,-63,-118,-258,-1397,-7263.0,-10805.0,-11170.0,-2600.0,-5322.0
182,4919,新唐,111.0,-2.0,-1.77,09/15,23,77,169,-256,-840,-3352.0,-7207.0,-7326.0,-2954.0,-820.0
183,6605,帝寶,137.5,1.5,1.1,09/15,-139,-167,-167,-256,-477,-1192.0,-592.0,1124.0,1647.0,324.0
184,1464,得力,9.96,0.01,0.1,09/15,2,-255,-255,-255,-277,-372.0,-1323.0,-841.0,-1595.0,-745.0
185,009817,國泰日本不動產,9.09,-0.01,-0.11,09/15,0,0,-204,-254,274,274.0,117.0,2099.0,,
186,1340,勝悅-KY,5.07,-0.09,-1.74,09/15,-141,-239,-239,-251,-288,-456.0,-602.0,-19.0,377.0,-153.0
187,2489,瑞軒,37.5,-1.8,-4.58,09/15,577,-221,772,-250,-904,2914.0,-6740.0,33905.0,39498.0,37718.0
188,2405,輔信,14.65,-0.05,-0.34,09/15,-108,-129,-235,-245,70,86.0,-1601.0,3288.0,-4226.0,5315.0
189,6620,漢達,122.0,-5.0,-3.94,09/15,-64,-143,-188,-244,-295,-101.0,761.0,,,
190,5278,尚凡*,23.3,-0.2,-0.85,09/15,-221,-233,-233,-238,-451,-1038.0,-1770.0,-1856.0,-1498.0,-2085.0
191,6548,長科*,71.7,-0.6,-0.83,09/15,133,242,-446,-238,1631,695.0,6533.0,5037.0,7321.0,3361.0
192,9908,大台北,29.0,0.05,0.17,09/15,0,-61,-61,-232,-587,-893.0,-1723.0,-479.0,-84.0,119.0
193,1215,卜蜂,105.5,-2.0,-1.86,09/15,62,243,-204,-231,-423,-1857.0,-4461.0,6579.0,10993.0,7766.0
194,2062,橋椿,18.0,-0.15,-0.83,09/15,-3,-6,-239,-231,-262,-453.0,-1006.0,-1060.0,-1731.0,-1120.0
195,00405A,主動富邦台灣龍耀,8.32,-0.24,-2.8,09/15,-1042,-1042,-1542,-230,-5191,-9031.0,8932.0,,,
196,1477,聚陽,192.0,-2.5,-1.29,09/15,128,133,59,-225,-1851,-1920.0,-8012.0,-4909.0,-4787.0,484.0
197,8046,南電,1085.0,30.0,2.84,09/15,30,264,-105,-225,350,2844.0,3656.0,1844.0,-8130.0,1682.0
198,9907,統一實,14.9,-0.1,-0.67,09/15,60,-38,-19,-224,-3639,-8841.0,-22595.0,20200.0,25615.0,19055.0
199,00936,台新永續高息中小,20.89,-0.23,-1.09,09/15,-142,-160,-195,-220,-220,-234.0,-167.0,1889.0,287.0,-141.0
200,1519,華城,694.0,-3.0,-0.43,09/15,-10,27,-178,-219,-236,1816.0,1768.0,13970.0,9614.0,11670.0
201,3033,威健,40.8,-0.6,-1.45,09/15,91,133,82,-218,306,177.0,-1572.0,-16287.0,-16330.0,-12959.0
202,6719,力智,179.0,-3.5,-1.92,09/15,-14,-87,-190,-218,-270,78.0,386.0,2194.0,2747.0,2870.0
