排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
123,2352,佳世達,28.8,0.15,0.52,09/09,0.0,0.01,0.01,0.05,0.06,0.12,3.12,3.27,3.14,0.64,2.1,3.29
124,2497,怡利電,44.0,0.1,0.23,09/09,0.02,0.02,0.02,0.05,0.07,0.07,0.07,-0.16,0.09,0.06,0.11,0.09
125,2382,廣達,342.0,14.0,4.27,09/09,0.0,0.01,0.04,0.05,0.16,0.23,1.97,8.2,7.71,4.91,9.66,8.11
126,3015,全漢,52.5,0.1,0.19,09/09,0.0,0.01,0.01,0.04,0.07,0.06,0.35,0.18,0.98,1.31,1.38,0.03
127,2850,新產,158.0,0.5,0.32,09/09,0.0,0.0,0.0,0.04,0.08,0.07,-0.2,-0.57,-1.37,1.98,1.99,-0.82
128,2892,第一金,37.8,-0.05,-0.13,09/09,0.01,0.0,0.05,0.04,0.08,0.33,3.1,3.27,-0.36,2.27,3.74,3.24
129,8924,大田,50.6,0.3,0.6,09/09,0.0,0.0,0.01,0.04,0.04,0.04,0.33,0.33,0.33,0.33,0.33,0.33
130,3708,上緯投控,99.1,-0.5,-0.5,09/09,0.01,0.01,0.01,0.04,0.07,0.06,0.04,0.47,0.98,-0.41,-3.95,0.74
131,3293,鈊象,708.0,0.0,0.0,09/09,0.0,0.01,0.03,0.04,-3.06,-4.9,-2.75,1.85,5.82,3.25,2.02,0.97
132,6446,藥華藥,1345.0,-60.0,-4.27,09/09,0.0,0.01,0.0,0.04,-0.2,-0.07,0.26,-0.24,-1.2,0.11,-0.32,0.14
133,5434,崇越,535.0,3.0,0.56,09/09,0.0,0.04,0.03,0.04,0.09,0.31,3.5,3.0,0.31,5.51,5.58,2.57
134,6703,軒郁,100.5,-1.5,-1.47,09/09,0.0,0.0,0.01,0.04,0.03,0.03,0.34,0.34,0.34,0.33,,0.34
135,7751,竑騰,1610.0,65.0,4.21,09/09,0.0,0.0,0.02,0.04,-0.69,-1.32,-3.09,-0.63,-3.59,,,-1.39
136,9910,豐泰,68.6,-3.2,-4.46,09/09,0.0,0.01,0.03,0.04,0.05,0.12,-0.01,3.47,3.51,3.5,3.25,3.37
137,6643,M31,433.0,-5.0,-1.14,09/09,0.0,0.04,0.04,0.04,0.04,0.1,-0.21,0.02,0.56,-7.55,,0.63
138,5534,長虹,75.8,-0.1,-0.13,09/09,0.0,0.0,0.0,0.04,0.07,0.17,0.08,1.0,0.3,0.97,0.38,0.98
139,2610,華航,20.45,-0.15,-0.73,09/09,0.0,0.0,0.02,0.04,0.1,0.16,1.19,0.59,-0.55,6.51,6.72,-0.74
140,4953,緯致,118.0,0.0,0.0,09/09,0.01,0.01,0.02,0.03,0.05,0.05,0.18,0.19,-0.04,0.13,-0.89,-0.05
141,6548,長科*,71.7,1.1,1.56,09/09,0.0,0.0,0.0,0.03,0.08,0.09,1.14,1.87,4.05,3.19,,3.07
142,2495,普安,36.95,0.9,2.5,09/09,0.01,0.01,0.02,0.03,0.05,0.05,0.06,0.15,0.06,0.48,0.48,0.46
143,5309,系統電,51.1,0.4,0.79,09/09,0.0,0.01,0.01,0.03,0.05,0.05,0.06,-0.22,-0.4,-0.75,0.38,-0.3
144,6763,綠界科技*,40.9,-0.1,-0.24,09/09,0.01,0.01,0.02,0.03,0.05,0.05,0.05,0.04,0.03,0.06,,0.03
145,3059,華晶科,38.0,0.5,1.33,09/09,0.01,0.01,0.02,0.03,0.04,0.05,0.04,0.04,-0.9,-0.12,0.12,0.04
146,6592,和潤企業,60.5,0.2,0.33,09/09,0.0,0.0,0.0,0.03,0.05,0.05,-0.04,0.0,-0.02,-0.15,,0.0
147,3680,家登,566.0,45.0,8.64,09/09,0.03,0.03,0.03,0.03,0.08,0.08,-2.74,-4.64,-0.83,-6.48,-0.6,-1.85
148,3006,晶豪科,306.5,8.0,2.68,09/09,0.0,-0.02,-0.02,0.03,0.06,0.05,-0.66,-0.81,0.29,-0.13,-0.03,0.23
149,3044,健鼎,509.0,25.0,5.17,09/09,0.0,0.0,0.01,0.03,0.04,0.61,-1.21,-2.5,-9.8,-6.82,0.66,-4.22
150,2890,永豐金,43.2,-0.25,-0.58,09/09,0.0,-0.01,0.0,0.03,0.07,0.43,2.65,2.12,2.94,0.84,5.99,2.23
151,4904,遠傳,104.0,0.0,0.0,09/09,0.03,0.03,0.03,0.03,0.0,-0.01,3.71,4.08,2.33,8.64,11.6,3.61
152,6284,佳邦,77.6,0.0,0.0,09/09,0.01,0.01,0.01,0.03,0.04,0.04,0.04,0.04,0.03,0.06,0.06,0.04
153,3034,聯詠,543.0,9.0,1.69,09/09,0.0,0.02,0.03,0.03,0.21,0.28,-0.33,-1.68,-7.74,11.2,13.5,-3.8
154,8069,元太,149.5,2.5,1.7,09/09,0.0,0.0,0.01,0.03,0.07,0.09,1.28,2.58,2.55,2.61,1.91,2.88
155,009814,富邦標普500,11.27,-0.06,-0.53,09/09,0.02,0.02,0.02,0.03,1.98,3.62,7.58,7.58,,,,7.58
156,6213,聯茂,523.0,13.0,2.55,09/09,0.0,0.0,0.01,0.03,-0.93,-1.38,1.93,2.2,0.92,0.45,1.56,1.82
157,1519,華城,735.0,7.0,0.96,09/09,0.0,-0.01,0.02,0.03,0.1,0.11,-0.17,-0.95,-1.01,-6.32,-0.54,-1.27
158,4722,國精化,193.0,0.0,0.0,09/09,0.03,0.03,0.03,0.03,0.03,0.02,6.1,5.27,6.35,6.35,2.65,5.26
159,2882,國泰金,110.5,-3.0,-2.64,09/09,0.0,0.0,0.0,0.03,0.11,0.1,-0.35,-2.3,-4.31,6.67,7.81,-2.65
160,1723,中碳,83.6,-0.3,-0.36,09/09,0.0,0.0,0.01,0.02,0.04,0.04,0.05,0.28,0.14,-1.17,-0.22,0.28
161,7795,長廣,548.0,-7.0,-1.26,09/09,0.0,0.01,0.03,0.02,0.02,0.02,0.03,-0.01,,,,
162,8415,大國鋼,36.7,-0.35,-0.94,09/09,0.0,0.0,0.0,0.02,0.04,0.04,0.06,0.05,0.05,0.05,,0.07
163,0056,元大高股息,55.75,0.0,0.0,09/09,0.0,0.0,0.02,0.02,0.02,0.03,0.03,0.11,0.13,0.03,0.82,0.11
164,2356,英業達,64.3,0.3,0.47,09/09,-0.01,0.02,0.02,0.02,0.09,0.05,0.54,2.54,1.23,-1.28,1.77,2.39
165,6026,福邦證,15.2,-0.2,-1.3,09/09,0.0,0.0,0.01,0.02,0.02,0.01,0.79,0.79,0.79,0.79,0.79,0.79
166,6664,群翊,353.5,-3.0,-0.84,09/09,0.0,0.0,0.01,0.02,0.06,0.06,0.14,0.24,0.16,-0.03,,0.04
167,3078,僑威,44.55,-0.65,-1.44,09/09,0.0,0.0,0.01,0.02,0.02,0.02,0.55,0.36,-5.48,0.92,-1.81,-0.78
168,6830,汎銓,576.0,0.0,0.0,09/09,0.0,0.0,0.0,0.02,0.3,0.65,0.57,1.25,1.23,0.68,,1.42
169,2886,兆豐金,50.3,-0.3,-0.59,09/09,0.0,-0.01,0.0,0.02,0.0,0.28,3.38,3.88,3.44,4.93,6.55,3.76
170,1476,儒鴻,295.5,-4.5,-1.5,09/09,0.0,0.0,0.02,0.02,0.16,0.29,0.81,1.34,1.29,1.67,1.63,1.19
171,6781,AES-KY,1065.0,0.0,0.0,09/09,0.0,0.0,0.0,0.02,0.02,0.02,0.04,-0.97,-6.19,-0.97,,-5.12
172,2606,裕民,79.7,1.9,2.44,09/09,0.01,0.02,0.0,0.02,-0.03,-0.15,-1.09,-4.6,-6.06,0.78,3.89,-7.66
173,00929,復華台灣科技優息,29.12,0.23,0.8,09/09,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.2,,0.02
174,00662,富邦NASDAQ,119.45,-0.55,-0.46,09/09,0.01,0.01,0.01,0.02,0.08,0.1,0.16,0.11,0.17,0.17,0.17,0.11
175,8150,南茂,91.5,1.2,1.33,09/09,0.0,0.0,0.02,0.02,0.04,-1.52,-1.91,0.59,0.57,0.68,0.58,0.66
176,6719,力智,182.5,-1.0,-0.54,09/09,0.01,0.02,0.02,0.02,0.02,0.06,0.08,0.09,0.11,-0.49,,-0.08
177,2530,華建,19.8,-0.05,-0.25,09/09,0.0,0.0,0.01,0.02,0.01,0.01,0.32,0.23,0.38,0.45,0.48,0.46
178,8926,台汽電,59.3,2.1,3.67,09/09,0.0,0.0,0.0,0.02,0.03,0.02,1.55,1.74,1.76,1.76,1.76,1.76
179,2885,元大金,69.7,-0.9,-1.27,09/09,0.0,0.0,0.0,0.02,-0.03,0.0,-0.58,-1.5,-3.33,-0.05,3.42,-2.13
180,6182,合晶,110.5,1.5,1.38,09/09,0.0,0.0,0.02,0.02,-0.03,-0.38,-0.17,0.77,0.75,-3.65,-0.27,0.77
181,6691,洋基工程,619.0,4.0,0.65,09/09,-0.01,-0.01,-0.01,0.02,0.04,0.33,3.79,3.08,3.0,2.08,,2.61
182,2528,皇普,20.2,0.05,0.25,09/09,0.0,0.0,0.01,0.02,0.01,0.01,0.25,0.2,0.28,0.28,0.28,0.28
183,3035,智原,176.5,1.5,0.86,09/09,0.0,0.02,0.02,0.02,0.02,0.14,0.19,0.11,-0.64,-12.5,0.82,0.07
184,3592,瑞鼎,222.0,3.5,1.6,09/09,0.0,0.02,0.02,0.02,0.01,0.08,-0.23,2.11,-12.0,-0.65,,1.21
185,9904,寶成,24.55,-0.15,-0.61,09/09,0.0,0.0,0.01,0.02,0.01,0.03,-3.19,-4.1,-4.32,-4.04,-4.05,-5.09
186,3515,華擎,225.5,4.0,1.81,09/09,0.0,0.0,0.01,0.01,0.02,0.02,0.08,-0.1,-1.39,-0.52,-0.58,-0.86
187,2387,精元,36.7,0.45,1.24,09/09,0.0,0.0,0.01,0.01,0.01,0.01,0.76,0.76,0.58,0.69,0.74,0.72
188,6191,精成科,83.1,1.4,1.71,09/09,0.0,0.01,0.01,0.01,0.05,0.15,4.75,3.7,1.75,0.72,5.22,2.4
189,2881B,富邦金乙特,60.9,0.0,0.0,09/09,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.07,0.01,,0.07
190,6122,擎邦,50.5,0.0,0.0,09/09,0.0,0.0,0.01,0.01,0.01,0.01,0.48,0.48,0.48,0.48,0.48,0.48
191,6412,群電,74.7,0.0,0.0,09/09,0.0,0.0,0.01,0.01,0.02,0.02,-0.57,-5.4,-9.66,-1.96,0.08,-7.58
192,4915,致伸,61.4,0.9,1.49,09/09,0.0,0.0,0.0,0.01,0.03,0.61,3.26,1.22,-0.72,10.7,15.9,1.64
193,6257,矽格,213.0,4.0,1.91,09/09,0.05,0.05,0.04,0.01,-0.15,-0.98,-0.97,-6.93,-11.6,1.64,2.6,-6.57
194,7749,意騰-KY,355.5,0.5,0.14,09/09,0.0,0.01,0.01,0.01,0.01,0.05,-0.42,0.06,0.05,,,0.1
195,6561,是方,317.5,-2.5,-0.78,09/09,0.0,0.0,0.01,0.01,0.02,0.02,-0.16,-0.29,-0.04,0.26,,-0.25
196,3563,牧德,688.0,-7.0,-1.01,09/09,0.0,0.0,0.0,0.01,0.01,0.32,0.08,-0.28,1.38,3.35,3.74,1.19
197,2609,陽明,58.5,1.2,2.09,09/09,0.0,0.01,0.01,0.01,0.01,0.04,-0.81,-6.94,-11.1,-3.15,-2.86,-7.29
198,5469,瀚宇博,72.4,1.3,1.83,09/09,0.0,0.0,0.0,0.01,0.01,0.05,3.47,2.89,4.61,-0.85,4.83,2.31
199,8422,可寧衛*,26.25,-0.35,-1.32,09/09,0.0,0.0,0.0,0.01,0.01,0.28,0.99,-1.65,-1.59,-1.59,-1.6,-1.88
200,2385,群光,106.5,1.0,0.95,09/09,0.0,0.0,0.02,0.01,0.02,-0.21,-3.31,-2.52,-9.5,1.66,1.32,-5.32
201,2480,敦陽科,155.5,0.0,0.0,09/09,0.0,0.0,0.0,0.01,0.02,0.01,0.11,0.26,-0.17,0.16,0.4,0.19
202,1605,華新,38.35,0.25,0.66,09/09,0.0,0.0,0.0,0.01,0.02,0.01,0.02,-0.27,-0.01,-2.7,-4.12,-0.78
203,2301,光寶科,292.5,1.5,0.52,09/09,-0.04,-0.03,-0.03,0.01,0.23,0.73,-0.7,-2.5,-9.06,-4.01,0.38,-3.85
