排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
175,2330,台積電,2480.0,20.0,0.81,09/21,44.4,59.8,56.7,64.2,64.7,62.4,64.8,63.5,61.8,56.9,60.0,63.5
176,3017,奇鋐,3415.0,-15.0,-0.44,09/21,47.3,51.1,56.6,54.0,49.2,46.2,42.7,43.6,38.7,32.9,22.3,40.4
177,1531,高林股,11.75,-0.05,-0.42,09/21,13.9,64.4,56.6,57.6,47.1,32.0,25.9,20.9,18.5,16.4,14.2,19.4
178,5258,虹堡,43.2,0.9,2.13,09/21,53.3,53.7,56.6,51.1,58.2,54.0,42.0,33.8,32.2,22.9,,32.7
179,6115,鎰勝,44.5,-0.9,-1.98,09/21,68.5,51.8,56.5,44.7,37.2,36.3,39.3,29.9,27.4,24.2,22.1,28.4
180,2313,華通,222.0,-6.5,-2.84,09/21,56.8,59.0,56.5,52.5,40.7,35.4,37.2,33.2,32.1,30.7,24.3,32.8
181,6561,是方,315.5,-1.5,-0.47,09/21,18.0,63.6,56.4,41.3,34.2,33.9,35.5,30.6,45.2,37.4,,36.9
182,9935,慶豐富,18.2,-0.05,-0.27,09/21,34.0,65.1,56.3,50.2,42.0,37.4,24.2,24.5,14.6,2.29,0.64,19.4
183,2535,達欣工,89.8,-0.5,-0.55,09/21,48.2,48.6,56.3,51.6,44.4,44.5,45.8,39.5,38.6,32.4,20.4,37.2
184,6768,志強-KY,62.4,-0.5,-0.79,09/21,41.6,57.1,56.1,49.4,46.0,49.5,35.1,34.4,34.0,33.4,,35.5
185,5522,遠雄,61.5,-0.7,-1.13,09/21,72.3,59.0,56.1,63.8,67.4,67.6,51.3,52.0,49.8,42.4,40.6,50.6
186,2727,王品,227.0,0.0,0.0,09/21,48.8,51.8,55.9,62.3,48.2,45.8,41.2,36.1,37.2,35.0,24.4,34.8
187,4439,冠星-KY,95.3,1.5,1.6,09/21,61.5,53.5,55.9,48.5,35.5,37.3,20.6,26.1,20.5,24.3,,23.8
188,5521,工信,10.65,-0.05,-0.47,09/21,40.3,62.8,55.8,52.0,37.0,39.7,37.3,37.2,30.8,28.0,21.4,34.0
