"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"49","2890","永豐金","42.6","+0.45","+1.07","09/03","+22.6","+13.6","+19.6","+25.6","+19.1","+5.51","+4.36","+8.03","+8.5","+3.69","+0.17","+8.04"
"50","2387","精元","36.6","-0.45","-1.21","09/03","-13.3","+18","+23.2","+25.5","+8.07","-19.6","-9.68","-2.94","-7.37","-1.35","-0.36","-4.08"
"51","2845","遠東銀","13.65","+0.65","+5","09/03","+69.8","+55.2","+39.6","+25.4","+18","+17.2","+9.57","+4.68","+2.65","+0.78","+0.36","+1.65"
"52","8349","恒耀","39","+0.3","+0.78","09/03","+63","+47.9","+37.6","+25.2","+16.3","+4.86","+6.99","-0.45","+0.16","+0.18","+0.02","+0.72"
"53","7744","崴寶","521","-19","-3.52","09/03","+6.18","+38.5","+33.4","+25.1","+24.7","+13.8","+6.91","+3.55","","","","+1.92"
"54","2537","聯上發","11.65","+0.1","+0.87","09/03","+65","+45.2","+37.7","+24.7","+21.8","+18","+4.01","+3.69","+2.37","+0.13","-0.05","+2.53"
"55","5876","上海商銀","45.95","+0.6","+1.32","09/03","+19.1","+35.8","+39.5","+24.6","+21.4","+13.4","+8.61","+0.98","+0.97","+0.44","","-0.53"
"56","2885","元大金","68.5","+1.8","+2.7","09/03","+47.7","+33.1","+34.8","+24.6","+14.1","-4.82","+1.62","+1.85","+4.99","+1.21","-1.1","+1.26"
"57","00922","國泰台灣領袖50","41.43","-0.35","-0.84","09/03","+5.2","-14.1","+22.6","+24.5","+15.4","+10.6","+1.34","+4.64","-4.14","-5.23","","+1.03"
"58","3623","富晶通","24","+0.7","+3","09/03","+29","+27.4","+24.3","+24.5","+21.2","+9.89","-0.27","-0.21","-0.33","0","-0.04","-0.09"
"59","6523","達爾膚","89.5","0","0","09/03","+27","+28.8","+28.9","+24.4","+14.8","+12.5","+0.01","-2.23","-1.28","-2.7","-0.33","-0.85"
