股票代號,股票名稱,法人持股,上榜區塊
2466,冠西電,13.218270481646707,"60日,20日,120日"
2467,志聖,22.06327813019815,120日
2472,立隆電,18.245440904085935,"60日,5日,20日,120日"
2474,可成,3.4394445217201497,5日
2476,鉅祥,10.066364297091555,120日
2478,大毅,19.909939697718126,"60日,5日,20日,120日"
2480,敦陽科,10.952655245649902,20日
2481,強茂,38.0113799258096,"60日,20日,120日"
2482,連宇,2.45,"5日,20日"
2483,百容,6.69,"60日,5日,20日,120日"
2484,希華,8.63,"60日,120日"
2485,兆赫,3.3925922670413082,"5日,20日"
2486,一詮,13.368904367341024,"5日,120日"
2488,漢平,6.53,5日
2489,瑞軒,6.2921363934426235,5日
2492,華新科,33.952329357460115,"60日,120日"
2493,揚博,8.125761416969532,"60日,5日,20日,120日"
2497,怡利電,4.545280277418938,60日
2504,國產,4.59489279661017,20日
2515,中工,10.104083043028082,20日
2527,宏璟,43.36867135764652,"5日,20日"
2542,興富發,12.279576437670215,"60日,20日,120日"
2597,潤弘,6.1279598089573755,60日
2603,長榮,22.752571676853666,"60日,5日,20日,120日"
2605,新興,48.401185627387015,"5日,120日"
2606,裕民,14.98293957859195,"60日,5日,20日,120日"
2610,華航,15.01548661334298,20日
2615,萬海,38.47097705736043,5日
2618,長榮航,29.44852717271828,"60日,5日,20日,120日"
2634,漢翔,5.198176099029071,"60日,20日"
2637,慧洋-KY,21.534261808166704,"60日,5日,20日,120日"
2645,長榮航太,13.399078607219959,"60日,20日,120日"
2727,王品,30.140477012515138,"60日,120日"
2812,台中銀,8.996558639295788,20日
2845,遠東銀,10.94312277501113,20日
2851,中再保,9.337024399081072,"60日,120日"
2867,三商壽,20.68057799803315,"60日,5日,20日,120日"
2887,台新新光金,29.7778210778087,20日
2889,國票金,9.461939632926809,5日
2890,永豐金,31.69014549731829,"60日,20日,120日"
2892,第一金,23.960491816399628,"5日,20日"
2897,王道銀行,8.237209922255774,120日
2904,匯僑,0.92,5日
2912,統一超,17.53152803486301,5日
3004,豐達科,5.5929099812002026,"60日,120日"
3005,神基,9.029265984222747,5日
3006,晶豪科,35.84450097558996,"60日,5日,20日,120日"
3010,華立,16.830380707569354,120日
3014,聯陽,22.158591922439598,60日
3015,全漢,10.831516883168204,20日
3016,嘉晶,5.989569559794035,"60日,20日,120日"
3017,奇鋐,55.55513946977534,120日
3019,亞光,7.399115681312589,60日
3022,威強電,17.71521079793807,"5日,60日"
3023,信邦,46.776866659768096,"60日,120日"
3026,禾伸堂,31.11163739043529,"60日,5日,20日,120日"
3028,增你強,13.370748662901894,"20日,120日"
3029,零壹,5.504690574327705,"60日,5日,20日"
3033,威健,26.32833248175165,"60日,5日,20日,120日"
3034,聯詠,35.13989483217119,"60日,5日,20日,120日"
3035,智原,14.64887462576182,"60日,5日,20日,120日"
3036,文曄,26.227697975376323,120日
3041,揚智,7.815468164510085,60日
3042,晶技,15.707165659905025,120日
3045,台灣大,19.497171446837587,"5日,60日,120日"
3048,益登,7.340344291112641,"5日,60日,120日"
3055,蔚華科,5.18,"60日,20日,120日"
3059,華晶科,7.789866145664787,5日
3060,銘異,14.904715914191872,"60日,20日,120日"
3090,日電貿,17.43653332447743,"60日,20日,120日"
3094,聯傑,5.700105874737745,"60日,20日,120日"
3135,凌航,2.95,"5日,60日"
3138,耀登,3.17,"5日,20日"
3167,大量,18.049989400596687,"20日,120日"
3189,景碩,30.823250805783452,"5日,60日,120日"
3209,全科,18.351130345919614,"60日,120日"
3231,緯創,29.366648844029577,5日
3305,昇貿,7.010194709436109,"60日,120日"
3338,泰碩,3.1392406190229867,5日
3356,奇偶,10.46,"60日,20日,120日"
