排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
132,1784,訊聯,62.5,2.1,3.48,09/23,-5.1,-6.0,-8.45,-10.6,-16.7,-28.5,-34.9,-37.8,-6.19,-54.1
133,00959B,大華投等美債15Y+,9.08,0.02,0.22,09/23,0.0,0.0,0.0,-10.5,-10.5,-2.3,0.0,-33.8,-31.4,-30.2
134,4961,天鈺,178.5,-2.0,-1.11,09/23,-0.17,-1.51,-4.0,-10.4,-25.7,-24.3,-49.5,-49.2,33.2,-17.1
135,6130,上亞科技,23.7,-0.05,-0.21,09/23,-0.38,-9.03,-9.34,-10.3,-11.2,-15.5,0.38,5.22,0.0,220.0
136,6248,沛波,16.75,-0.05,-0.3,09/23,-2.6,-4.03,-6.76,-10.3,-19.4,-37.3,-54.2,-53.7,-43.4,-65.8
137,2362,藍天,47.75,-0.15,-0.31,09/23,0.32,-0.1,-5.8,-10.2,-12.9,-27.8,-53.1,-9.08,-26.7,-17.0
138,2461,光群雷,17.55,0.2,1.15,09/23,-0.23,-3.15,-6.37,-10.2,-15.1,-14.5,1.92,26.3,55.7,46.8
139,2834,臺企銀,17.9,-0.35,-1.92,09/23,-1.62,-0.89,-3.15,-10.2,-37.0,-87.8,-81.1,-62.0,155.0,315.0
140,4157,太景*-KY,8.87,-0.01,-0.11,09/23,0.09,0.47,-7.36,-10.2,-13.0,-20.9,-22.1,-38.8,14.0,-5.42
141,1319,東陽,78.8,-0.9,-1.13,09/23,-3.92,-5.11,-7.98,-10.1,-13.4,-39.7,-66.8,-42.4,67.0,-25.8
142,2477,美隆電,22.9,-0.3,-1.29,09/23,-9.62,-9.55,-9.7,-10.1,-21.2,-17.8,-18.0,21.7,27.6,45.0
143,6270,倍微,29.2,0.05,0.17,09/23,-1.96,-6.46,-8.3,-10.0,-17.7,-25.8,10.2,5.68,865.0,608.0
144,2102,泰豐,16.65,0.0,0.0,09/23,-3.84,-8.82,-8.34,-9.96,-17.7,-27.9,-34.2,-6.97,47.3,11.2
145,2392,正崴,42.15,-1.3,-2.99,09/23,-4.5,-8.97,-9.29,-9.95,-23.8,-48.8,-31.3,-58.1,-55.9,-57.5
