排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
216,2362,藍天,47.25,-1.45,-2.98,1807,09/03,8,8,10,10,12,10,15.0,8.0,9.0,1.0
217,2363,矽統,50.1,-0.9,-1.76,3455,09/03,13,10,11,10,6,-140,-176.0,-46.0,-117.0,-21.0
218,2472,立隆電,207.0,-10.0,-4.61,2263,09/03,-4,8,6,10,-4,-22,-101.0,-37.0,6.0,-63.0
219,4746,台耀,46.0,-1.7,-3.56,1197,09/03,10,10,10,10,10,1,10.0,-9.0,3.0,7.0
220,6218,豪勉,42.6,-0.95,-2.18,1774,09/03,-19,1,11,10,14,31,26.0,25.0,33.0,9.0
221,1531,高林股,11.9,0.15,1.28,82,09/03,0,0,0,9,5,5,8.0,9.0,9.0,9.0
222,2308,台達電,1760.0,30.0,1.73,10346,09/03,1,5,4,9,-3,6,-31.0,-386.0,-615.0,-698.0
223,2412,中華電,138.0,0.5,0.36,13060,09/03,-2,8,10,9,-1,-41,8.0,-7.0,11.0,9.0
224,4927,泰鼎-KY,40.55,-1.75,-4.14,4106,09/03,-1,-3,1,9,-224,-211,-15.0,-62.0,-3820.0,-849.0
225,4938,和碩,90.4,-1.3,-1.42,9099,09/03,3,4,2,9,-3,10,-3.0,24.0,-14.0,16.0
226,5388,中磊,75.1,-1.7,-2.21,5028,09/03,1,10,10,9,-3,-4,-2.0,-24.0,-41.0,-35.0
227,5439,高技,261.0,-8.5,-3.15,2127,09/03,3,-13,4,9,12,42,19.0,-86.0,-553.0,-286.0
228,6585,鼎基,111.5,-1.5,-1.33,151,09/03,10,9,9,9,6,14,66.0,66.0,67.0,65.0
229,6805,富世達,2095.0,-15.0,-0.71,870,09/03,14,-17,-14,9,43,34,20.0,-50.0,3.0,-63.0
230,8089,康全電訊,17.1,-0.35,-2.01,132,09/03,10,10,9,9,9,-7,0.0,-108.0,-837.0,-432.0
231,8091,翔名,214.5,-6.0,-2.72,286,09/03,0,8,9,9,3,-21,2.0,17.0,17.0,17.0
232,00753L,中信中國50正2,9.13,-0.03,-0.33,8162,09/03,-2,12,8,8,12,-104,-450.0,-734.0,-5406.0,-1818.0
233,1217,愛之味,9.96,0.0,0.0,225,09/03,2,2,7,8,-8,8,9.0,9.0,9.0,9.0
234,1595,川寶,70.0,-3.0,-4.11,2150,09/03,0,8,8,8,0,3,-48.0,37.0,23.0,33.0
235,2059,川湖,13450.0,-415.0,-2.99,651,09/03,1,1,-1,8,6,-26,6.0,3.0,-1.0,-2.0
236,2539,櫻花建,35.1,0.15,0.43,861,09/03,-2,-2,-72,8,-9,16,21.0,15.0,-41.0,20.0
237,2812,台中銀,19.45,0.05,0.26,26875,09/03,0,4,8,8,8,9,23.0,19.0,9.0,18.0
238,3030,德律,293.5,5.0,1.73,2790,09/03,10,10,11,8,7,1,-24.0,-198.0,-174.0,-170.0
239,3701,大眾控,40.45,-2.8,-6.47,2181,09/03,6,11,11,8,11,15,35.0,-74.0,-58.0,-899.0
240,6188,廣明,65.6,-2.3,-3.39,1748,09/03,4,4,6,8,5,-52,-3.0,-11.0,-163.0,-17.0
241,6196,帆宣,500.0,8.0,1.63,2948,09/03,-1,7,-2,8,-1,3,-23.0,-102.0,-390.0,-72.0
242,9941,裕融,80.9,-1.7,-2.06,880,09/03,0,1,8,8,5,5,2.0,-12.0,-6.0,0.0
243,00980A,主動野村臺灣優選,24.21,-0.56,-2.26,7511,09/03,-15,-9,-8,7,14,12,-8.0,14.0,18.0,12.0
244,3044,健鼎,487.5,-14.5,-2.89,2391,09/03,2,1,1,7,21,46,22.0,22.0,-284.0,-25.0
