排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
181,2027,大成鋼,49.1,-1.1,-2.19,09/07,-1271.0,252.0,-2636.0,-5107,-7702.0,-23445.0,-198868.0,-415456.0,-150386.0,-247383.0
182,2597,潤弘,171.0,2.0,1.18,09/07,-1328.0,-1362.0,-2565.0,-5087,-13157.0,-20307.0,14453.0,123087.0,110167.0,121734.0
183,00891,中信關鍵半導體,35.86,0.9,2.57,09/07,0.0,-3725.0,-4988.0,-4988,-8756.0,6717.0,20750.0,34474.0,23563.0,39417.0
184,2395,研華,680.0,-31.0,-4.36,09/07,-21445.0,-14922.0,-16774.0,-4945,-4418.0,33116.0,-286897.0,-811762.0,-280521.0,-365841.0
185,1312,國喬,14.1,-0.5,-3.42,09/07,1425.0,1876.0,1122.0,-4819,-3279.0,-47.7,3394.0,35201.0,25034.0,35543.0
186,4966,譜瑞-KY,566.0,-3.0,-0.53,09/07,-1138.0,-685.0,-1139.0,-4563,20658.0,14435.0,-62910.0,-148592.0,73893.0,8338.0
187,2480,敦陽科,157.5,1.5,0.96,09/07,93.5,-93.5,-780.0,-4549,-5138.0,-15206.0,-23398.0,6707.0,29076.0,19034.0
188,8422,可寧衛*,26.05,-0.05,-0.19,09/07,-1368.0,-1073.0,-694.0,-4540,-11191.0,-44865.0,19435.0,-22036.0,140117.0,-15926.0
189,6768,志強-KY,63.8,-0.3,-0.47,09/07,12.7,-1543.0,-1909.0,-4478,-4517.0,-4255.0,-5565.0,-5583.0,13031.0,-7769.0
190,00405A,主動富邦台灣龍耀,8.83,0.15,1.73,09/07,0.0,86.6,86.6,-4389,-7322.0,-7780.0,11730.0,,,
191,9939,宏全,129.0,-2.5,-1.9,09/07,1203.0,1072.0,-284.0,-4375,-8475.0,-40415.0,-93421.0,-89096.0,-15987.0,-104624.0
192,3675,德微,282.0,0.0,0.0,09/07,-1113.0,-665.0,-2937.0,-4370,-3336.0,-1900.0,-6048.0,-20711.0,-12361.0,-26996.0
193,1609,大亞,37.2,-0.15,-0.4,09/07,204.0,-713.0,-1875.0,-4334,-7391.0,-14702.0,-23169.0,40353.0,-66092.0,-25515.0
194,6890,來億-KY,166.0,-3.5,-2.06,09/07,883.0,1572.0,1725.0,-4236,-7424.0,-7763.0,4284.0,-4173.0,6957.0,-2539.0
195,1560,中砂,730.0,35.0,5.04,09/07,-435.0,-505.0,67.9,-4148,-5993.0,-8032.0,-31457.0,-56156.0,-120412.0,-55238.0
196,1440,南紡,13.5,-0.4,-2.88,09/07,-282.0,-415.0,-1148.0,-4084,-8364.0,-9742.0,-12632.0,3388.0,-5377.0,2969.0
197,00881,國泰台灣科技龍頭,51.35,1.0,1.99,09/07,-138.0,-6403.0,-2532.0,-4081,-80658.0,-11097.0,-52900.0,-71563.0,-5574.0,-17602.0
198,8028,昇陽半導體,249.5,10.5,4.39,09/07,4308.0,5500.0,7885.0,-4010,-4611.0,-20621.0,1601.0,-139312.0,-190003.0,-239693.0
199,0052,富邦科技,63.75,1.05,1.67,09/07,0.0,-3198.0,-3198.0,-3938,-19465.0,-38149.0,-26811.0,-132685.0,33054.0,8672.0
200,2646,星宇航空,20.5,-0.15,-0.73,09/07,-486.0,-704.0,-366.0,-3821,-7544.0,-1215.0,-40869.0,-60833.0,94160.0,-14287.0
201,5469,瀚宇博,72.3,0.7,0.98,09/07,992.0,1851.0,1147.0,-3775,-14421.0,-32704.0,44637.0,97414.0,136487.0,44714.0
202,6206,飛捷,136.0,-2.5,-1.81,09/07,1779.0,962.0,-321.0,-3744,-4482.0,-9836.0,-21702.0,-83833.0,-89694.0,-101721.0
203,8096,擎亞,105.0,0.5,0.48,09/07,-2046.0,-2077.0,-4100.0,-3721,-7277.0,-22553.0,-27691.0,-55779.0,-75290.0,-81415.0
204,8131,福懋科,61.9,0.5,0.81,09/07,-242.0,-1986.0,-2091.0,-3711,-3278.0,2327.0,20494.0,-6623.0,29197.0,4683.0
205,2489,瑞軒,40.9,-0.1,-0.24,09/07,1046.0,2092.0,4255.0,-3697,6039.0,9954.0,-45631.0,128249.0,,131296.0
206,6592,和潤企業,60.6,-0.4,-0.66,09/07,-123.0,-98.7,-231.0,-3584,-3987.0,-4754.0,-23018.0,-25974.0,-9327.0,-5402.0
207,2607,榮運,53.1,-0.4,-0.75,09/07,-106.0,-314.0,-986.0,-3574,-6491.0,-8856.0,-10662.0,6326.0,,-4562.0
208,4766,南寶,344.5,-1.5,-0.43,09/07,-482.0,-620.0,-2340.0,-3524,-4003.0,-19110.0,-70536.0,-807.0,25740.0,-9888.0
209,7828,創新服務,1870.0,-60.0,-3.11,09/07,383.0,1138.0,-2271.0,-3514,2471.0,1470.0,,,,
210,3680,家登,529.0,11.0,2.12,09/07,-794.0,-4826.0,-4459.0,-3488,-14797.0,-11625.0,-12193.0,-185475.0,-224180.0,-222269.0
211,8454,富邦媒,242.0,-3.0,-1.22,09/07,-868.0,-310.0,2884.0,-3467,-8129.0,-6186.0,-25631.0,2423.0,72103.0,22663.0
212,1314,中石化,8.1,-0.02,-0.25,09/07,-929.0,90.2,1015.0,-3437,-6114.0,-20591.0,-51072.0,36953.0,3333.0,-20885.0
213,2467,志聖,619.0,16.0,2.65,09/07,498.0,-577.0,-455.0,-3378,-12397.0,-14477.0,-24902.0,-68520.0,-207901.0,-103316.0
214,00909,國泰數位支付服務,48.56,-0.1,-0.21,09/07,43.7,-1411.0,-1505.0,-3300,-3823.0,-3802.0,-3503.0,-14213.0,-3381.0,-12906.0
215,4960,誠美材,21.0,-0.1,-0.47,09/07,-535.0,-535.0,11.0,-3297,-5316.0,-3939.0,-7967.0,5699.0,6827.0,10024.0
216,3356,奇偶,60.3,-1.0,-1.63,09/07,0.0,0.0,-3166.0,-3292,-3305.0,-5455.0,-5538.0,-6344.0,-9825.0,-7685.0
